Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1900-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.9,69.0,NaN
1900-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.6,45.0,NaN
1900-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.6,31.0,NaN
1900-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,7.4,38.0,NaN
1900-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,11.9,36.0,NaN
1900-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.7,144.0,NaN
1900-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,19.3,68.0,NaN
1900-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.9,49.0,NaN
1900-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.3,21.0,NaN
1900-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,9.7,103.0,NaN
1900-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,5.6,19.0,NaN
1900-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.9,65.0,NaN
1901-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-4.7,69.0,NaN
1901-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-3.1,31.0,NaN
1901-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.2,36.0,NaN
1901-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,9.3,66.0,NaN
1901-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.9,37.0,NaN
1901-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.4,50.0,NaN
1901-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,18.8,88.0,NaN
1901-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,16.7,31.0,NaN
1901-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.1,74.0,NaN
1901-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,10.0,55.0,NaN
1901-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.5,92.0,NaN
