Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1900-01,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,59.0,NaN
1900-02,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,42.0,NaN
1900-03,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,32.0,NaN
1900-04,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,31.0,NaN
1900-05,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,66.0,NaN
1900-06,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,97.0,NaN
1900-07,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,82.0,NaN
1900-08,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,55.0,NaN
1900-09,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,35.0,NaN
1900-10,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,73.0,NaN
1900-11,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,36.0,NaN
1900-12,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,64.0,NaN
1901-01,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,50.0,NaN
1901-02,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,26.0,NaN
1901-03,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,40.0,NaN
1901-04,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,40.0,NaN
1901-05,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,49.0,NaN
1901-06,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,64.0,NaN
1901-07,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,138.0,NaN
1901-08,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,20.0,NaN
1901-09,s1m01,Eschwege,51.185,10.064,170.0,xxxxxxxxx,NaN,112.0,NaN
