Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1900-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.3,158.0,NaN
1900-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,2.8,46.0,NaN
1900-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,0.1,92.0,NaN
1900-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,7.1,40.0,NaN
1900-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,10.6,93.0,NaN
1900-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.4,106.0,NaN
1900-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,18.5,156.0,NaN
1900-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,15.9,78.0,NaN
1900-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,14.9,50.0,NaN
1900-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,9.1,46.0,NaN
1900-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,4.6,41.0,NaN
1900-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,2.7,55.0,NaN
1901-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-2.4,34.0,NaN
1901-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-4.6,35.0,NaN
1901-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.9,74.0,NaN
1901-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,8.4,94.0,NaN
1901-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,12.5,58.0,NaN
1901-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.1,87.0,NaN
1901-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,17.8,113.0,NaN
1901-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.0,130.0,NaN
1901-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,13.6,118.0,NaN
1901-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,7.8,47.0,NaN
1901-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.4,27.0,NaN
1901-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.1,30.0,NaN
1902-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.7,48.0,NaN
1902-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-0.3,39.0,NaN
1902-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,4.0,59.0,NaN
1902-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,9.3,33.0,NaN
1902-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,8.6,74.0,NaN
1902-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,15.0,40.0,NaN
1902-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,17.6,71.0,NaN
1902-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.3,122.0,NaN
1902-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,12.8,49.0,NaN
1902-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,7.5,87.0,NaN
1902-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.8,18.0,NaN
1902-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-1.7,83.0,NaN
1903-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,0.3,49.9,NaN
1903-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,3.7,9.8,NaN
1903-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,5.9,27.6,NaN
1903-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,4.3,61.6,NaN
1903-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,12.1,44.8,NaN
1903-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,14.1,121.0,NaN
1903-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.2,98.1,NaN
1903-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.3,112.7,NaN
1903-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,13.9,59.6,NaN
1903-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,10.1,75.5,NaN
1903-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,3.9,82.7,NaN
1903-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-1.6,13.3,NaN
1904-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-1.9,36.7,NaN
1904-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.5,90.0,NaN
1904-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,3.7,33.5,NaN
1904-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,9.6,70.8,NaN
1904-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,13.4,159.5,NaN
1904-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,15.6,69.9,NaN
1904-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,19.3,12.8,NaN
1904-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,17.0,64.7,NaN
1904-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,11.9,104.0,NaN
1904-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,8.4,39.5,NaN
1904-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,2.6,28.7,NaN
1904-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.8,19.9,NaN
1905-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,-2.4,46.9,NaN
1905-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,0.9,28.4,NaN
1905-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,5.5,92.4,NaN
1905-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,7.5,68.8,NaN
1905-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,10.8,47.0,NaN
1905-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,16.0,105.3,NaN
1905-07,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,19.3,86.7,NaN
1905-08,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,17.1,104.2,NaN
1905-09,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,13.3,111.5,NaN
1905-10,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,4.1,95.7,NaN
1905-11,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,3.6,36.5,NaN
1905-12,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,0.9,35.3,NaN
1906-01,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,1.4,49.0,NaN
1906-02,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,0.1,49.0,NaN
1906-03,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,2.7,69.0,NaN
1906-04,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,8.4,39.0,NaN
1906-05,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,13.0,150.0,NaN
1906-06,s1m01,Hechingen,48.356,8.969,489.0,xxxxxxxxx,14.1,71.0,NaN
