Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1900-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1900-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1901-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1902-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1903-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1904-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1904-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1904-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1904-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
